Gene	inframe	shift_plus	shift_minus
A1BG_NM_130786	94	5	19
A1CF_NM_001198819	2	2	1
A2ML1_NM_144670	0	0	0
A2M_NM_000014	155	13	17
A3GALT2_NM_001080438	0	0	0
A4GALT_NM_017436	0	0	0
A4GNT_NM_016161	0	0	0
AAAS_NM_015665	0	0	0
AACS_NM_023928	0	0	0
AADACL2_NM_207365	0	0	0
AADACL3_NM_001103170	0	0	0
AADACL4_NM_001013630	0	0	0
AADAC_NM_001086	26	4	4
AADAT_NM_001286682	0	0	0
AAED1_NM_153698	0	0	0
AAGAB_NM_024666	0	0	0
AAK1_NM_014911	0	0	0
AAMDC_NM_024684	0	0	0
AAMP_NM_001302545	2	0	0
AANAT_NM_001166579	0	0	0
AAR2_NM_015511	0	0	0
AARD_NM_001025357	0	0	0
AARS2_NM_020745	0	0	0
AARSD1_NM_001261434	0	0	0
AARS_NM_001605	3	1	0
AASDHPPT_NM_015423	0	0	1
AASDH_NM_181806	0	0	0
AASS_NM_005763	1	0	0
AATF_NM_012138	0	0	0
AATK_NM_001080395	0	0	0
ABAT_NM_000663	9	0	1
ABCA10_NM_080282	0	0	0
ABCA12_NM_173076	0	0	0
ABCA13_NM_152701	0	0	0
ABCA1_NM_005502	4	0	0
ABCA2_NM_212533	2	0	0
ABCA3_NM_001089	0	0	0
ABCA4_NM_000350	0	0	0
ABCA5_NM_018672	5	0	1
ABCA6_NM_080284	3	0	0
ABCA7_NM_019112	0	0	0
ABCA8_NM_001288985	0	0	0
ABCA9_NM_080283	0	0	0
ABCB10_NM_012089	0	0	0
ABCB11_NM_003742	9	1	0
ABCB1_NM_000927	5	0	1
ABCB4_NM_018849	7	0	1
ABCB5_NM_001163941	0	0	0
ABCB6_NM_005689	3	0	0
ABCB7_NM_004299	2	0	0
ABCB8_NM_001282291	0	0	0
ABCB9_NM_019625	0	0	0
ABCC10_NM_001198934	1	0	0
ABCC11_NM_033151	0	0	0
ABCC12_NM_033226	0	0	0
ABCC1_NM_004996_1	0	0	0
ABCC2_NM_000392	8	0	3
ABCC3_NM_003786	7	2	3
ABCC4_NM_005845	0	1	0
ABCC5_NM_005688	0	0	0
ABCC6_NM_001171	3	0	0
ABCC8_NM_001287174	0	0	0
ABCC9_NM_020297	1	1	0
ABCD1_NM_000033	0	0	0
ABCD2_NM_005164	0	0	0
ABCD3_NM_002858	3	0	0
ABCD4_NM_005050	1	0	0
ABCE1_NM_002940	3	0	0
ABCF1_NM_001025091_3	0	0	0
ABCF2_NM_005692	1	0	0
ABCF3_NM_018358	0	0	0
ABCG1_NM_004915	0	0	0
ABCG2_NM_004827	0	0	0
ABCG4_NM_022169	0	0	0
ABCG5_NM_022436	0	0	0
ABCG8_NM_022437	2	0	0
ABHD10_NM_018394	0	0	0
ABHD11_NM_148912	0	0	0
ABHD12B_NM_001206673	0	0	0
ABHD12_NM_015600	1	1	0
ABHD13_NM_032859	0	0	0
ABHD14A_NM_015407	0	0	0
ABHD14B_NM_032750	3	0	1
ABHD15_NM_198147	0	0	0
ABHD16A_NM_021160_3	0	0	0
ABHD16B_NM_080622	0	0	0
ABHD17A_NM_031213	0	0	0
ABHD17B_NM_016014	1	0	0
ABHD17C_NM_021214	0	0	0
ABHD1_NM_032604	0	0	0
ABHD2_NM_007011	8	1	3
ABHD3_NM_138340	0	0	0
ABHD4_NM_022060	0	0	0
ABHD5_NM_016006	1	0	0
ABHD6_NM_020676	1	0	0
ABHD8_NM_024527	0	0	0
ABI1_NM_005470	1	0	0
ABI2_NM_001282925	0	0	0
ABI3BP_NM_015429	1	0	0
ABI3_NM_016428	0	0	0
ABL1_NM_007313	0	0	0
ABL2_NM_007314	0	0	0
ABLIM1_NM_002313	0	0	0
ABLIM2_NM_001130083	0	0	0
ABLIM3_NM_001301015	1	0	0
ABO_NM_020469	0	0	0
ABRACL_NM_021243	1	0	0
ABRA_NM_139166	0	0	0
ABR_NM_021962_2	0	0	0
ABT1_NM_013375	0	0	0
ABTB1_NM_172027	0	0	0
ABTB2_NM_145804	1	0	0
ACAA1_NM_001607	11	1	2
ACAA2_NM_006111	35	3	3
ACACA_NM_198834	0	0	0
ACACB_NM_001093	5	0	0
ACAD10_NM_001136538	0	0	0
ACAD11_NM_032169	3	0	0
ACAD8_NM_014384	0	0	0
ACAD9_NM_014049	2	0	0
ACADL_NM_001608	0	0	0
ACADM_NM_001286043	6	0	1
ACADSB_NM_001609	1	0	2
ACADS_NM_000017	3	1	0
ACADVL_NM_001270447	16	4	2
ACAN_NM_013227	0	0	0
ACAP1_NM_014716	0	0	0
ACAP2_NM_012287	2	0	0
ACAP3_NM_030649	0	0	0
ACAT1_NM_000019	23	4	3
ACAT2_NM_001303253	3	0	0
ACBD3_NM_022735	2	0	0
ACBD4_NM_001135704	2	0	1
ACBD5_NM_145698	0	0	0
ACBD6_NM_032360	0	0	0
ACBD7_NM_001039844	0	0	0
ACCSL_NM_001031854	0	0	0
ACCS_NM_032592	0	0	0
ACD_NM_001082486	0	0	0
ACE2_NM_021804	1	0	0
ACER1_NM_133492	0	0	0
ACER2_NM_001010887	0	0	0
ACER3_NM_018367	0	0	0
ACE_NM_000789	1	0	0
ACHE_NM_015831	0	0	0
ACIN1_NM_014977	0	0	0
ACKR1_NM_001122951	0	0	0
ACKR2_NM_001296	1	0	0
ACKR3_NM_020311	0	0	0
ACKR4_NM_178445	0	0	0
ACLY_NM_001303274	2	0	0
ACMSD_NM_138326	1	1	0
ACO1_NM_001278352	6	1	2
ACO2_NM_001098	2	1	2
ACOT11_NM_015547	0	0	0
ACOT12_NM_130767	0	0	0
ACOT13_NM_018473	2	1	3
ACOT1_NM_001037161	0	0	1
ACOT2_NM_006821	2	0	0
ACOT4_NM_152331	0	0	0
ACOT6_NM_001037162	0	0	0
ACOT7_NM_181864	0	1	0
ACOT8_NM_005469	0	0	0
ACOT9_NM_001037171	0	0	0
ACOX1_NM_007292	0	0	0
ACOX2_NM_003500	2	0	1
ACOX3_NM_003501	0	0	0
ACOXL_NM_001142807	0	0	0
ACP1_NM_004300	2	0	0
ACP2_NM_001610	2	0	0
ACP5_NM_001111035	8	0	0
ACP6_NM_016361	0	0	0
ACPP_NM_001134194	0	0	0
ACPT_NM_033068	0	0	0
ACRBP_NM_032489	0	0	0
ACRC_NM_052957	0	0	0
ACRV1_NM_001612	0	0	0
ACR_NM_001097	0	0	0
ACSBG1_NM_015162	0	0	0
ACSBG2_NM_001289177	0	0	0
ACSF2_NM_001288968	2	0	0
ACSF3_NM_001243279	1	0	0
ACSL1_NM_001286710	44	5	8
ACSL3_NM_004457	4	1	1
ACSL4_NM_022977	0	0	0
ACSL5_NM_016234	2	0	1
ACSL6_NM_001009185	0	0	0
ACSM1_NM_052956	1	0	0
ACSM2A_NM_001308954	7	0	1
ACSM2B_NM_182617	7	2	0
ACSM3_NM_005622	1	0	0
ACSM4_NM_001080454	0	0	0
ACSM5_NM_017888	2	0	1
ACSM6_NM_207321	0	0	0
ACSS1_NM_032501	0	0	0
ACSS2_NM_001076552	3	0	0
ACSS3_NM_024560	1	0	1
ACTA1_NM_001100	0	0	0
ACTA2_NM_001141945	1	0	0
ACTBL2_NM_001017992	0	0	1
ACTB_NM_001101	44	1	2
ACTC1_NM_005159	0	0	0
ACTG1_NM_001199954	14	4	1
ACTG2_NM_001615	1	0	0
ACTL10_NM_001024675	0	0	0
ACTL6A_NM_004301	0	0	0
ACTL6B_NM_016188	0	0	0
ACTL7A_NM_006687	0	0	0
ACTL7B_NM_006686	0	0	0
ACTL8_NM_030812	0	0	0
ACTL9_NM_178525	0	0	0
ACTN1_NM_001130004	4	0	1
ACTN2_NM_001278343	0	0	0
ACTN3_NM_001258371	0	0	0
ACTN4_NM_004924	4	1	1
ACTR10_NM_018477	1	0	0
ACTR1A_NM_005736	1	0	0
ACTR1B_NM_005735	0	0	0
ACTR2_NM_001005386	3	0	0
ACTR3B_NM_020445	0	0	0
ACTR3C_NM_001164458	0	0	0
ACTR3_NM_005721	1	0	0
ACTR5_NM_024855	0	0	0
ACTR6_NM_022496	1	0	0
ACTR8_NM_022899	0	0	0
ACTRT1_NM_138289	0	0	0
ACTRT2_NM_080431	0	0	0
ACTRT3_NM_032487	0	0	0
ACVR1B_NM_020328	0	0	0
ACVR1C_NM_145259	0	0	0
ACVR1_NM_001105	1	0	0
ACVR2A_NM_001278579	2	0	1
ACVR2B_NM_001106	0	0	0
ACVRL1_NM_000020	1	0	0
ACY1_NM_000666	2	0	0
ACY3_NM_080658	0	0	0
ACYP1_NM_001302617	0	0	0
ACYP2_NM_138448	0	0	0
ADAD1_NM_139243	0	0	0
ADAD2_NM_139174	0	0	0
ADAL_NM_001159280	0	0	0
ADAM10_NM_001110	3	0	0
ADAM11_NM_002390	0	0	0
ADAM12_NM_003474	0	0	0
ADAM15_NM_207197	0	0	0
ADAM17_NM_003183	2	0	0
ADAM18_NM_014237_1	0	0	0
ADAM19_NM_033274	0	0	0
ADAM20_NM_003814	0	0	0
ADAM21_NM_003813	0	0	0
ADAM22_NM_021723	0	0	0
ADAM23_NM_003812	0	0	0
ADAM28_NM_014265	0	0	0
ADAM29_NM_001278125	0	0	0
ADAM2_NM_001464_1	0	0	0
ADAM30_NM_021794	0	0	0
ADAM32_NM_145004_1	0	0	0
ADAM33_NM_025220	0	0	0
ADAM7_NM_003817	0	0	0
ADAM8_NM_001109	0	0	0
ADAM9_NM_003816_1	0	0	0
ADAMDEC1_NM_014479	0	0	0
ADAMTS10_NM_030957	0	0	0
ADAMTS12_NM_030955	0	0	0
ADAMTS13_NM_139025	0	0	0
ADAMTS14_NM_139155	0	0	0
ADAMTS15_NM_139055	0	0	0
ADAMTS16_NM_139056	0	0	0
ADAMTS17_NM_139057	1	1	0
ADAMTS18_NM_199355	0	0	0
ADAMTS19_NM_133638	0	0	0
ADAMTS1_NM_006988	3	0	0
ADAMTS20_NM_025003	0	0	0
ADAMTS2_NM_014244	0	0	0
ADAMTS3_NM_014243	0	0	0
ADAMTS4_NM_005099	0	0	0
ADAMTS5_NM_007038	0	0	0
ADAMTS6_NM_197941	0	0	0
ADAMTS7_NM_014272	0	0	0
ADAMTS8_NM_007037	0	0	0
ADAMTS9_NM_182920	1	0	0
ADAMTSL1_NM_001040272	0	1	0
ADAMTSL2_NM_001145320	0	0	0
ADAMTSL3_NM_207517	0	0	0
ADAMTSL4_NM_001288608	1	0	0
ADAMTSL5_NM_213604	0	0	0
ADAP1_NM_001284308	0	0	0
ADAP2_NM_018404	0	0	0
ADARB1_NM_015833	0	0	0
ADARB2_NM_018702	0	0	0
ADAR_NM_001111	3	1	0
ADAT1_NM_012091	0	0	0
ADAT2_NM_182503	0	0	0
ADAT3_NM_138422	0	0	0
ADA_NM_000022	0	0	0
ADCK1_NM_020421	0	0	0
ADCK2_NM_052853	0	0	0
ADCK3_NM_020247	0	0	0
ADCK4_NM_024876	0	0	0
ADCK5_NM_174922	0	0	0
ADCY10_NM_018417	0	0	0
ADCY1_NM_021116	0	0	0
ADCY2_NM_020546	0	0	0
ADCY3_NM_004036	0	0	0
ADCY4_NM_001198568	0	0	0
ADCY5_NM_183357	0	0	0
ADCY6_NM_015270	0	0	0
ADCY7_NM_001114	0	0	0
ADCY8_NM_001115	0	0	0
ADCY9_NM_001116	0	0	0
ADCYAP1R1_NM_001199635	0	0	0
ADCYAP1_NM_001117	0	0	0
ADD1_NM_014189	2	0	1
ADD2_NM_001617	0	0	0
ADD3_NM_016824	1	0	0
