Gene	ORF_length	inframe_cov	inframe_count	shift_plus_cov	shift_plus_count	shift_minus_cov	shift_minus_count	RNA_seq_cov	RNA_seq_count
A1BG_NM_130786	1688	4.3	94	0.34	5	1.08	19	NA	NA
A1CF_NM_001198819	2009	0.11	2	0.11	2	0.06	1	NA	NA
A2M_NM_000014	4625	2.58	155	0.25	13	0.34	17	NA	NA
AADAC_NM_001086	1400	1.75	26	0.33	4	0.33	4	NA	NA
AAMP_NM_001302545	1508	0.15	2	0	0	0	0	NA	NA
AARS_NM_001605	3107	0.1	3	0.03	1	0	0	NA	NA
AASS_NM_005763	2981	0.04	1	0	0	0	0	NA	NA
ABAT_NM_000663	1703	0.47	9	0	0	0.07	1	NA	NA
ABCA1_NM_005502	6986	0.06	4	0	0	0	0	NA	NA
ABCA2_NM_212533	7601	0.03	2	0	0	0	0	NA	NA
ABCA5_NM_018672	5129	0.1	5	0	0	0.02	1	NA	NA
ABCA6_NM_080284	5054	0.04	3	0	0	0	0	NA	NA
ABCB11_NM_003742	4166	0.2	9	0.03	1	0	0	NA	NA
ABCB1_NM_000927	4043	0.13	5	0	0	0.03	1	NA	NA
ABCB4_NM_018849	4061	0.18	7	0	0	0.03	1	NA	NA
ABCB6_NM_005689	2729	0.12	3	0	0	0	0	NA	NA
ABCB7_NM_004299	2462	0.09	2	0	0	0	0	NA	NA
ABCC10_NM_001198934	4679	0.02	1	0	0	0	0	NA	NA
ABCC2_NM_000392	4838	0.17	8	0	0	0.06	3	NA	NA
ABCC3_NM_003786	4784	0.13	7	0.04	2	0.07	3	NA	NA
ABCC6_NM_001171	4712	0.07	3	0	0	0	0	NA	NA
ABCC9_NM_020297	4850	0.02	1	0.02	1	0	0	NA	NA
ABCD3_NM_002858	2180	0.15	3	0	0	0	0	NA	NA
ABCD4_NM_005050	2021	0.05	1	0	0	0	0	NA	NA
ABCE1_NM_002940	2000	0.17	3	0	0	0	0	NA	NA
ABCF2_NM_005692	2105	0.05	1	0	0	0	0	NA	NA
ABCG8_NM_022437	2222	0.1	2	0	0	0	0	NA	NA
ABHD12_NM_015600	1415	0.08	1	0.08	1	0	0	NA	NA
ABHD14B_NM_032750	833	0.32	3	0	0	0.16	1	NA	NA
ABHD17B_NM_016014	1082	0.11	1	0	0	0	0	NA	NA
ABHD2_NM_007011	1478	0.63	8	0.08	1	0.23	3	NA	NA
ABHD5_NM_016006	1250	0.1	1	0	0	0	0	NA	NA
ABHD6_NM_020676	1214	0.1	1	0	0	0	0	NA	NA
ABI1_NM_005470	1727	0.07	1	0	0	0	0	NA	NA
ABI3BP_NM_015429	3428	0.03	1	0	0	0	0	NA	NA
ABLIM3_NM_001301015	2252	0.05	1	0	0	0	0	NA	NA
ABRACL_NM_021243	446	0.41	1	0	0	0	0	NA	NA
ABTB2_NM_145804	3278	0.03	1	0	0	0	0	NA	NA
ACAA1_NM_001607	1475	0.86	11	0.08	1	0.16	2	NA	NA
ACAA2_NM_006111	1394	2.26	35	0.25	3	0.25	3	NA	NA
ACACB_NM_001093	7577	0.07	5	0	0	0	0	NA	NA
ACAD11_NM_032169	2543	0.13	3	0	0	0	0	NA	NA
ACAD9_NM_014049	2066	0.11	2	0	0	0	0	NA	NA
ACADM_NM_001286043	1565	0.37	6	0	0	0.07	1	NA	NA
ACADSB_NM_001609	1499	0.08	1	0	0	0.15	2	NA	NA
ACADS_NM_000017	1439	0.16	3	0.08	1	0	0	NA	NA
ACADVL_NM_001270447	2237	0.54	16	0.2	4	0.1	2	NA	NA
ACAP2_NM_012287	2537	0.09	2	0	0	0	0	NA	NA
ACAT1_NM_000019	1484	1.4	23	0.31	4	0.23	3	NA	NA
